smallRNA_id	logFC_tumor_vs_normal_FC	P.Value_tumor_vs_normal_FC	adj.P.Val_tumor_vs_normal_FC	logFC_tumor_vs_normal_salmon	P.Value_tumor_vs_normal_salmon	adj.P.Val_tumor_vs_normal_salmon	gene_type
URS0000C8E9CB_GR_chr1_148317369_148317438_70_-	2.573828965	4.97E-04	0.004017547	1.970504735	0.016971564	0.049980981	tRNA
URS00006B479B_GR_chr1_16678271_16678341_71_-	1.757555261	5.13E-04	0.00404575	NA	NA	NA	tRNA
URS0000EFE52D_GR_chr14_101065924_101065981_58_+	-2.065719928	5.20E-04	0.00404575	NA	NA	NA	precursor_RNA
URS00004AF1CF_GR_chr17_59841262_59841342_81_+	1.697462019	5.21E-04	0.00404575	NA	NA	NA	misc_RNA
URS00002B3F1C_GR_chr17_59841263_59841340_78_-	1.697452432	5.21E-04	0.00404575	NA	NA	NA	misc_RNA
URS00000AF93C_GR_chr17_59841266_59841337_72_+	1.697452432	5.21E-04	0.00404575	2.211532224	4.88E-06	7.41E-04	precursor_RNA
URS000075ECD7_GR_chr12_6964097_6964191_95_+	1.980132847	5.21E-04	0.00404575	NA	NA	NA	precursor_RNA
URS0000EFE31F_GR_chr17_59841272_59841332_61_+	1.697176967	5.22E-04	0.00404575	1.55780956	8.61E-04	0.006636159	precursor_RNA
URS0000667F3B_GR_chr12_6964104_6964184_81_+	1.977722808	5.22E-04	0.00404575	2.85269158	0.001172594	0.007846034	precursor_RNA
URS000047E765_GR_chr14_101065961_101065981_21_+	-2.052180303	5.26E-04	0.00404575	-2.238117554	8.25E-04	0.006469353	miRNA
URS0000EFBEA5_GR_chr12_6964112_6964177_66_+	1.974978685	5.27E-04	0.00404575	1.978215959	2.19E-04	0.003457787	precursor_RNA
URS0000717C38_GR_chr14_101065912_101065991_80_+	-2.04969781	5.27E-04	0.00404575	NA	NA	NA	precursor_RNA
URS00002B845E_GR_chr16_69933143_69933164_22_+	-1.518867765	5.34E-04	0.00408009	NA	NA	NA	miRNA
URS00004270D7_GR_chr17_59841273_59841296_24_+	1.695395012	5.44E-04	0.004132286	1.709259922	9.36E-04	0.006928567	miRNA
URS000046AF60_GR_chr17_59841273_59841295_23_+	1.703422422	5.48E-04	0.004142194	NA	NA	NA	miRNA
URS00002CA973_GR_chr14_20657464_20657557_94_-	1.479039848	5.66E-04	0.004260291	NA	NA	NA	tRNA
URS000032835F_GR_chr14_101560326_101560349_24_-	-2.875193497	5.73E-04	0.00429421	NA	NA	NA	miRNA
URS00004104C4_GR_chr14_101560326_101560346_21_-	-2.87215516	5.78E-04	0.004304031	-2.925121055	3.25E-04	0.003836023	miRNA
URS0000EFD81B_GR_chr9_128244782_128244805_24_-	-1.512109395	5.82E-04	0.004304031	NA	NA	NA	miRNA
URS0000EFC8DD_GR_chr14_101560325_101560383_59_-	-2.776293896	5.82E-04	0.004304031	-2.444430244	0.002971653	0.014460984	precursor_RNA
URS000075D1A4_GR_chr9_128244784_128244805_22_-	-1.538711912	5.92E-04	0.004356496	NA	NA	NA	miRNA
URS0000029EBD_GR_chr9_128244783_128244805_23_-	-1.500679899	6.19E-04	0.004517761	NA	NA	NA	miRNA
URS0000161979_GR_chr5_181188416_181188488_73_-	2.059804745	6.19E-04	0.004517761	2.562382381	0.002192526	0.012088241	tRNA
URS00002DDD59_GR_chr3_45688999_45689071_73_-	2.223287385	6.24E-04	0.004535157	2.197123733	0.105145351	0.192133071	tRNA
URS000075ADDC_GR_chr14_100974806_100974879_74_+	-1.691668659	6.45E-04	0.004643309	NA	NA	NA	snoRNA
URS000064A1E7_GR_chr14_100974806_100974880_75_+	-1.691668659	6.45E-04	0.004643309	-1.681537466	0.004223776	0.019027903	snoRNA
URS0000068EE0_GR_chr5_181188458_181188488_31_-	2.117104904	6.51E-04	0.004670039	NA	NA	NA	piRNA
hsa_piR_020829_DQ598677	2.103482244	6.63E-04	0.00473305	NA	NA	NA	piRNA
URS0000EFE028_GR_chr10_103394299_103394361_63_-	1.266906205	6.94E-04	0.004931477	1.83039019	2.95E-05	0.001396022	precursor_RNA
URS00002F4D78_GR_chr7_130876748_130876769_22_-	-1.32144755	7.20E-04	0.005097336	-1.638250372	3.74E-04	0.004133976	miRNA
URS000066103F_GR_chr17_75035113_75035185_73_+	2.596929386	7.48E-04	0.005271617	2.494740376	6.71E-04	0.00581401	tRNA
URS0000225EE1_GR_chr9_128340076_128340166_91_-	3.091891111	7.52E-04	0.005271617	NA	NA	NA	tRNA
URS000062749E_GR_chr21_25573980_25574044_65_+	1.306904157	7.58E-04	0.005271617	NA	NA	NA	precursor_RNA
URS0000EFBD7B_GR_chr21_25573982_25574043_62_+	1.306904157	7.58E-04	0.005271617	1.600956075	3.49E-04	0.003975022	precursor_RNA
URS00003130BD_GR_chr7_148941488_148941571_84_+	1.166600941	7.64E-04	0.005296775	0.724338129	0.014416702	0.045234408	misc_RNA
URS00002CA973_GR_chr14_20663192_20663285_94_-	1.423483162	7.99E-04	0.005511731	0.298435743	0.804997072	0.862835495	tRNA
URS0000D54CAD_GR_chr21_25573983_25574006_24_+	1.299240223	8.18E-04	0.005621527	1.165972481	0.002117958	0.011824182	miRNA
URS00003DB428_GR_chr1_1167916_1167938_23_+	1.334869363	8.24E-04	0.005636966	1.295137159	4.18E-04	0.004370755	miRNA
URS0000EFCF4B_GR_chr5_149062332_149062394_63_-	-1.461344261	8.33E-04	0.005677426	-1.605601419	6.01E-04	0.005582505	precursor_RNA
URS00001B341F_GR_chr19_13836487_13836508_22_-	-2.042297438	8.50E-04	0.005769716	NA	NA	NA	miRNA
URS0000576F83_GR_chr5_149062373_149062394_22_-	-1.453260049	8.73E-04	0.005897071	NA	NA	NA	miRNA
URS00002064F6_GR_chr1_121020729_121020801_73_-	1.798056597	8.79E-04	0.005897369	NA	NA	NA	tRNA
URS000024B619_GR_chr14_101026071_101026092_22_+	-1.807984906	8.80E-04	0.005897369	-1.768307458	0.002525758	0.013156701	miRNA
URS000044730B_GR_chr5_181222394_181222467_74_-	1.967312503	9.05E-04	0.006038793	NA	NA	NA	tRNA
URS000066A55E_GR_chr5_149062313_149062409_97_-	-1.444622502	9.49E-04	0.006310459	NA	NA	NA	precursor_RNA
URS0000626898_GR_chr5_149062320_149062416_97_+	-1.443840121	9.57E-04	0.00633503	NA	NA	NA	precursor_RNA
URS000015A7CF_GR_chr11_62854621_62854695_75_-	1.20854193	9.66E-04	0.006344827	1.151911938	7.92E-04	0.006431005	snoRNA
URS000005EEFA_GR_chr5_181218258_181218346_89_-	2.109124804	9.66E-04	0.006344827	NA	NA	NA	precursor_RNA
URS0000700D52_GR_chr6_27631421_27631514_94_+	2.316343302	9.81E-04	0.006419935	NA	NA	NA	tRNA
URS000028327B_GR_chr17_59841273_59841294_22_-	1.611828817	9.93E-04	0.006437708	NA	NA	NA	miRNA
URS000039ED8D_GR_chr17_59841273_59841294_22_+	1.611828817	9.93E-04	0.006437708	NA	NA	NA	miRNA
URS000020C605_GR_chr17_28720550_28720616_67_+	1.716939481	9.96E-04	0.006437708	1.480769173	0.004056374	0.018549248	snoRNA
URS0000316FA5_GR_chr2_218402657_218402677_21_+	-1.084854555	0.00100119	0.006449072	NA	NA	NA	miRNA
URS0000475CEE_GR_chr9_133349419_133349445_27_+	1.579981541	0.001059076	0.006795394	1.651487948	6.64E-04	0.00581401	piRNA
URS00001F225B_GR_chr14_101054304_101054383_80_+	-1.684381162	0.001076285	0.006879048	NA	NA	NA	precursor_RNA
URS000075EA0D_GR_chr5_149062374_149062394_21_-	-1.441210017	0.001081741	0.006887221	NA	NA	NA	miRNA
URS00001B3570_GR_chr3_169772230_169772302_73_+	1.778738612	0.001088854	0.006905846	NA	NA	NA	tRNA
hsa_piR_000560_DQ570698	1.908931156	0.001110047	0.007013285	1.875383392	0.001108752	0.007529583	piRNA
URS0000E60B72_GR_chr3_169772230_169772301_72_+	1.773624229	0.001120673	0.007053398	NA	NA	NA	tRNA
URS00000451A1_GR_chr5_149732867_149732888_22_+	-1.846533207	0.001139216	0.00714284	-1.945762506	0.001489206	0.009156603	miRNA
URS000063FB43_GR_chr1_161443304_161443374_71_+	1.404979139	0.00116839	0.007275946	NA	NA	NA	tRNA
URS0000010A7C_GR_chr1_44776492_44776589_98_+	1.590224884	0.00116927	0.007275946	1.527832439	0.002056225	0.011622143	snoRNA
URS000075CFDA_GR_chr7_143382686_143382706_21_+	-1.607986157	0.001217853	0.007549773	NA	NA	NA	miRNA
URS00006B86A6_GR_chr5_149732825_149732890_66_+	-1.866077618	0.00125152	0.007729422	-2.141521725	3.78E-04	0.004133976	precursor_RNA
URS0000EFEC68_GR_chr5_149732828_149732888_61_+	-1.863673522	0.001288443	0.007919055	NA	NA	NA	precursor_RNA
URS00001BC212_GR_chr17_7017979_7017999_21_-	-1.310383967	0.001299157	0.007919055	NA	NA	NA	miRNA
URS0000EFE727_GR_chr7_130876747_130876807_61_-	-1.191110871	0.001301433	0.007919055	-1.51377588	1.35E-04	0.002617074	precursor_RNA
URS00004E9304_GR_chr7_130876747_130876810_64_-	-1.191110871	0.001301433	0.007919055	NA	NA	NA	precursor_RNA
URS000003AF8A_GR_chr9_133349396_133349448_53_+	1.553466109	0.001315127	0.007960454	NA	NA	NA	snoRNA
URS0000708227_GR_chr7_22856613_22856686_74_+	-1.391413186	0.001317892	0.007960454	-1.382406141	0.002401906	0.012782073	snoRNA
URS0000338542_GR_chr21_25573983_25574005_23_+	1.24741306	0.00139388	0.008388718	NA	NA	NA	miRNA
URS000075C687_GR_chr14_100981975_100982045_71_+	-2.143362728	0.001410457	0.008426967	NA	NA	NA	snoRNA
URS00006B8E06_GR_chr14_100981975_100982046_72_+	-2.143362728	0.001410457	0.008426967	-1.862300423	0.037776854	0.089991982	snoRNA
URS000075ABA3_GR_chr14_101054306_101054381_76_+	-1.632786929	0.001519581	0.00904617	NA	NA	NA	precursor_RNA
URS0000EFD3D3_GR_chr14_101054315_101054373_59_+	-1.632327952	0.001526254	0.00905321	-2.006746161	6.67E-04	0.00581401	precursor_RNA
URS0000729F65_GR_chr14_100943451_100943524_74_+	-1.56204995	0.001547909	0.009148755	-1.505959569	0.002693109	0.013539939	snoRNA
URS00006BADF6_GR_chr10_17845107_17845193_87_+	-1.627418303	0.00156189	0.009165681	NA	NA	NA	precursor_RNA
URS0000EFC3BD_GR_chr10_17845120_17845181_62_+	-1.627418303	0.00156189	0.009165681	-1.598592726	0.003641132	0.01716803	precursor_RNA
URS0000663392_GR_chr6_28537590_28537683_94_+	1.593810684	0.001593126	0.009315835	NA	NA	NA	tRNA
URS000075D37A_GR_chr14_100943451_100943523_73_+	-1.558272834	0.001601073	0.00932922	NA	NA	NA	snoRNA
URS00007E3516_GR_chr16_14309340_14309360_21_+	-1.503111579	0.001617043	0.009389099	NA	NA	NA	miRNA
URS0000446722_GR_chr1_209432166_209432187_22_+	-3.224683929	0.001706834	0.009875684	NA	NA	NA	miRNA
URS000003E1A9_GR_chr12_6964155_6964176_22_+	1.587705101	0.001776169	0.010240917	NA	NA	NA	miRNA
URS000066C675_GR_chr14_85271932_85272010_79_+	1.240288855	0.001784132	0.01025099	NA	NA	NA	snoRNA
URS0000645747_GR_chr5_168768153_168768248_96_-	-1.377062522	0.001797934	0.01025953	NA	NA	NA	precursor_RNA
URS0000712944_GR_chr6_31835263_31835326_64_+	1.477597895	0.001802946	0.01025953	1.52834105	0.001380398	0.008846215	snoRNA
URS0000EFC938_GR_chr5_168768167_168768231_65_-	-1.376350966	0.001804284	0.01025953	-1.587690818	4.82E-04	0.004728904	precursor_RNA
URS00004B1671_GR_chr10_103394301_103394322_22_-	1.136754077	0.001822933	0.010303318	NA	NA	NA	miRNA
URS0000693C16_GR_chr9_88374269_88374352_84_+	1.240642298	0.001824481	0.010303318	NA	NA	NA	snoRNA
URS00006CAA11_GR_chr19_39412168_39412260_93_-	1.360815868	0.001863817	0.01038406	0.294622004	0.827255234	0.877832208	tRNA
URS00007E3675_GR_chrX_66018937_66018959_23_+	-1.330580474	0.00186638	0.01038406	-1.420144315	0.001049454	0.007290102	miRNA
URS0000EFE833_GR_chr1_209432165_209432224_60_+	-3.17536361	0.001866988	0.01038406	-2.95519867	6.29E-04	0.005726048	precursor_RNA
URS00004A0D40_GR_chr16_3152902_3152973_72_+	-1.342026341	0.001868596	0.01038406	NA	NA	NA	tRNA
URS0000220D63_GR_chr1_209432166_209432188_23_+	-3.175294714	0.001870264	0.01038406	-3.314461054	0.00117157	0.007846034	miRNA
URS0000EFBD01_GR_chr12_54337238_54337299_62_+	1.110772428	0.001887393	0.010443996	NA	NA	NA	precursor_RNA
URS000068907A_GR_chr19_40114609_40114705_97_-	1.232633498	0.001897986	0.010466552	1.194800856	0.001468159	0.009088606	snoRNA
URS000075BEB6_GR_chr8_66922474_66922549_76_-	1.284024196	0.001904164	0.010466552	1.317560073	9.89E-04	0.007062181	snoRNA
URS0000521626_GR_chr12_54337278_54337299_22_+	1.107956671	0.001915317	0.010492882	1.387920933	1.48E-04	0.002798978	miRNA
URS00005AFD62_GR_chr21_17454786_17454859_74_-	1.441927778	0.00195167	0.010590948	1.561887675	0.001027205	0.007190434	tRNA
URS00001AD596_GR_chr1_146039401_146039473_73_+	1.381484442	0.001955414	0.010590948	1.610339427	0.090663644	0.174812618	tRNA
URS000075C16C_GR_chr12_54337216_54337314_99_+	1.0994613	0.001958908	0.010590948	NA	NA	NA	precursor_RNA
URS00000C61A6_GR_chr12_54337225_54337311_87_+	1.0994613	0.001958908	0.010590948	0.875280865	0.006450889	0.025746969	precursor_RNA
URS0000676D30_GR_chr14_100968948_100969022_75_+	-1.669159018	0.001976104	0.010649007	-1.161131541	0.09852495	0.183271361	snoRNA
URS00004FB43D_GR_chr7_130876749_130876770_22_-	-1.129377034	0.001989178	0.010684542	-0.859253103	0.007564425	0.02844474	misc_RNA
URS000075AF2D_GR_chr14_100968948_100969021_74_+	-1.667334813	0.001999975	0.010707467	NA	NA	NA	snoRNA
URS000055E199_GR_chr12_6964113_6964134_22_+	1.788938146	0.002006433	0.010707467	1.704400733	0.004707515	0.020206787	miRNA
URS000035E174_GR_chr14_101054316_101054337_22_+	-1.598865935	0.002112029	0.01123463	-0.505965348	0.692133611	0.77873484	miRNA
hsa_piR_016984_DQ593431	1.749427704	0.002137957	0.011335985	1.653426214	0.006711401	0.026519035	piRNA
URS0000631D74_GR_chr4_20528282_20528377_96_+	-1.346402816	0.00218926	0.011533833	NA	NA	NA	precursor_RNA
URS0000EFB97D_GR_chr4_20528298_20528362_65_+	-1.346402816	0.00218926	0.011533833	-0.55448646	0.380950387	0.505342351	precursor_RNA
URS0000EFE563_GR_chrX_66018894_66018959_66_+	-1.296061822	0.002225289	0.011686312	NA	NA	NA	precursor_RNA
URS0000816C2B_GR_chr12_97876120_97876195_76_-	1.229847844	0.002289646	0.011986117	0.860785085	0.136674521	0.235556467	snoRNA
URS00002CA973_GR_chr6_26594874_26594962_89_+	1.233693903	0.002301773	0.012002752	NA	NA	NA	tRNA
URS0000303544_GR_chr1_161523884_161523914_31_-	1.44032442	0.002307382	0.012002752	NA	NA	NA	piRNA
hsa_piR_000441_DQ570540	1.703481702	0.002409461	0.012494343	1.940269033	0.001991359	0.011325852	piRNA
URS00006D8711_GR_chr6_18053386_18053467_82_+	2.142854621	0.002430644	0.012564677	NA	NA	NA	tRNA
URS000082C6B1_GR_chr17_28723434_28723491_58_+	1.530795305	0.002457739	0.012665035	1.611278463	0.001457002	0.009088606	snoRNA
URS0000583A29_GR_chr17_28723430_28723491_62_+	1.525036382	0.002470364	0.012690437	NA	NA	NA	snRNA
URS0000EFCCC1_GR_chr16_14309299_14309360_62_+	-1.375005574	0.002484915	0.012692182	NA	NA	NA	precursor_RNA
URS00006C0C10_GR_chr17_28723429_28723492_64_+	1.526928953	0.002486097	0.012692182	NA	NA	NA	snoRNA
URS000000EB00_GR_chr5_134926590_134926658_69_-	1.466496906	0.002607182	0.013269267	NA	NA	NA	tRNA
URS000062C5D9_GR_chr8_66922467_66922555_89_-	1.257997878	0.002617877	0.013282705	NA	NA	NA	snoRNA
URS0000A4881D_GR_chr5_134926590_134926657_68_-	1.468984705	0.002698858	0.013651587	NA	NA	NA	tRNA
URS000021D84F_GR_chr5_134926591_134926658_68_-	1.477892021	0.002707552	0.01365368	NA	NA	NA	tRNA
URS00007131F2_GR_chr1_16727285_16727355_71_+	1.689583309	0.002756215	0.013856704	NA	NA	NA	tRNA
URS00002015A1_GR_chr5_134926590_134926653_64_-	1.466459073	0.002783245	0.013950066	NA	NA	NA	tRNA
URS00003E7283_GR_chr16_14309340_14309361_22_+	-1.339087713	0.002819361	0.014080826	-1.407950715	0.002416416	0.012784526	miRNA
URS0000EFE930_GR_chr1_155195195_155195258_64_+	1.232935631	0.002826412	0.014080826	NA	NA	NA	precursor_RNA
URS000075BA3A_GR_chr1_155195177_155195272_96_+	1.232217171	0.002853556	0.014173236	1.00781093	0.022797955	0.061765188	precursor_RNA
URS000052A1C9_GR_chr6_26571864_26571936_73_-	1.539436462	0.002884599	0.014284393	1.477885727	0.016351783	0.048787286	tRNA
URS00005B7465_GR_chr6_28478623_28478704_82_-	1.538966233	0.002930302	0.01446727	NA	NA	NA	tRNA
URS000025576D_GR_chr1_155195237_155195258_22_+	1.227657514	0.002989451	0.014715239	1.27824693	0.001260872	0.008314443	miRNA
hsa_piR_018570_DQ595536	1.377458397	0.003066208	0.015048143	NA	NA	NA	piRNA
URS000065CAD4_GR_chr6_27020346_27020439_94_+	1.552244377	0.003077327	0.0150579	NA	NA	NA	tRNA
URS00004E1F23_GR_chr2_42810536_42810628_93_+	1.329394519	0.003117847	0.015211034	1.800061358	4.83E-04	0.004728904	tRNA
URS000063D0D0_GR_chr7_130496111_130496204_94_+	-2.321018527	0.003181409	0.015475347	-2.173774592	0.001379913	0.008846215	precursor_RNA
URS0000EFDB80_GR_chr5_180015317_180015382_66_-	1.273406284	0.003285459	0.015934479	1.273084234	0.008551582	0.030637556	precursor_RNA
URS0000EFBBCA_GR_chr7_130496125_130496183_59_+	-2.318219912	0.00336199	0.016248581	-2.072851432	0.006164396	0.0248772	precursor_RNA
URS000075A669_GR_chr16_14309285_14309371_87_+	-1.258931975	0.003389571	0.016248581	NA	NA	NA	precursor_RNA
URS000011554E_GR_chr16_14309285_14309377_93_+	-1.258931975	0.003389571	0.016248581	NA	NA	NA	precursor_RNA
URS000075C604_GR_chr5_180015303_180015397_95_-	1.270439649	0.003389637	0.016248581	NA	NA	NA	precursor_RNA
URS000041615F_GR_chr11_62855012_62855083_72_-	1.12159136	0.003424495	0.016368093	1.16137499	0.002395764	0.012782073	snoRNA
URS00004B1F4D_GR_chrM_1603_1671_69_+	1.259462994	0.003440136	0.01639533	0.065755193	0.92213463	0.939689265	tRNA
URS00001A10BC_GR_chr1_161523885_161523913_29_-	1.421855146	0.003509259	0.016676567	NA	NA	NA	piRNA
URS0000E2CD46_GR_chr7_145997342_145997390_49_+	1.205363743	0.003566992	0.01689078	1.857194293	4.48E-04	0.004516622	tRNA
URS00000A3335_GR_chr1_75787889_75787972_84_+	1.174381641	0.003579912	0.01689078	0.940674006	0.14729037	0.249134268	snoRNA
URS00008295AD_GR_chr1_75787889_75787971_83_+	1.173674539	0.003591424	0.01689078	NA	NA	NA	snoRNA
URS0000636B3D_GR_chr5_180015303_180015400_98_-	1.25948269	0.003620614	0.01689078	NA	NA	NA	precursor_RNA
URS00006C0B51_GR_chr14_100307859_100307955_97_+	1.413490159	0.003629337	0.01689078	NA	NA	NA	precursor_RNA
URS000075E1CD_GR_chr14_100307859_100307956_98_+	1.413490159	0.003629337	0.01689078	NA	NA	NA	precursor_RNA
URS0000EFD039_GR_chr14_100307875_100307933_59_+	1.413490159	0.003629337	0.01689078	1.181753272	0.014571136	0.045234408	precursor_RNA
URS00004BAA8A_GR_chr5_149732829_149732850_22_+	-2.020564759	0.003636281	0.01689078	NA	NA	NA	miRNA
URS000060A34C_GR_chr21_16539883_16539904_22_+	-1.490732715	0.003738524	0.017316927	-1.533262196	0.003689863	0.017308121	miRNA
URS00006CE133_GR_chr14_100982926_100982997_72_+	-2.01110741	0.003830123	0.01769152	-1.865571692	0.00461013	0.020072814	snoRNA
hsa_piR_001312_DQ571813	1.405010518	0.003859872	0.01773006	NA	NA	NA	piRNA
URS000075A044_GR_chr14_100982926_100982996_71_+	-2.010081824	0.003859971	0.01773006	NA	NA	NA	snoRNA
URS000025307A_GR_chr10_130962634_130962658_25_-	-1.51924405	0.003901708	0.01787199	-1.961904224	7.59E-04	0.006219313	miRNA
URS000016F8FA_GR_chr1_161523885_161523914_30_-	1.392643415	0.003923233	0.017905655	NA	NA	NA	piRNA
URS00005092C2_GR_chr7_130496162_130496183_22_+	-2.27184693	0.003933362	0.017905655	-2.198848844	0.00385045	0.017786341	miRNA
URS0000EFF505_GR_chr17_31575438_31575499_62_+	-1.26011027	0.003941633	0.017905655	NA	NA	NA	precursor_RNA
URS0000597BED_GR_chr16_15643301_15643322_22_+	1.069182255	0.004026424	0.018240586	1.048078525	0.008416671	0.030637556	miRNA
URS000027315D_GR_chr22_39313819_39313911_93_-	1.139453788	0.004055808	0.018323361	0.949968212	0.020210644	0.057117037	snoRNA
URS000080E36F_GR_chrM_1601_1670_70_+	1.24537681	0.004104677	0.018443084	NA	NA	NA	tRNA
URS000000A699_GR_chrM_1602_1670_69_+	1.245375845	0.004104677	0.018443084	NA	NA	NA	tRNA
URS0000A32854_GR_chrM_1603_1670_68_+	1.244096442	0.004147183	0.018526102	NA	NA	NA	tRNA
URS0000DDCC12_GR_chrM_1609_1670_62_+	1.243905755	0.004154127	0.018526102	NA	NA	NA	tRNA
URS0000DDF06A_GR_chrM_1612_1670_59_+	1.243772735	0.004156857	0.018526102	NA	NA	NA	tRNA
URS0000515607_GR_chr17_31575424_31575515_92_+	-1.22382019	0.004211235	0.018717861	-0.573842226	0.222399099	0.33674406	precursor_RNA
URS000029900F_GR_chr4_151103826_151103891_66_+	1.332544075	0.004254076	0.018806892	NA	NA	NA	snRNA
URS000051B5A1_GR_chr4_151103827_151103891_65_+	1.332544075	0.004254076	0.018806892	1.366813501	0.003727252	0.017393843	snoRNA
URS00000AE0C5_GR_chr10_96692723_96692751_29_+	2.874617957	0.004266919	0.018813236	NA	NA	NA	piRNA
URS00005160A3_GR_chr2_231460368_231460442_75_-	1.484773237	0.004308705	0.018946813	NA	NA	NA	snoRNA
URS000026DCDD_GR_chr7_149310190_149310261_72_+	2.238340678	0.004328148	0.018981692	NA	NA	NA	tRNA
hsa_piR_017723_DQ594464	1.39673845	0.004353637	0.019042833	NA	NA	NA	piRNA
URS0000626A32_GR_chr2_231460371_231460440_70_-	1.475492917	0.004409007	0.019234001	NA	NA	NA	snoRNA
hsa_piR_017724_DQ594465	1.426081978	0.00454052	0.019738187	NA	NA	NA	piRNA
hsa_piR_018569_DQ595533	1.373214543	0.004548521	0.019738187	NA	NA	NA	piRNA
URS00006A2AF1_GR_chr2_231460371_231460437_67_-	1.467228568	0.004606572	0.019937632	NA	NA	NA	snoRNA
URS000000EE2E_GR_chr1_633464_633533_70_+	1.139911807	0.004626203	0.019970179	2.031606739	0.019911233	0.056775677	tRNA
URS0000519855_GR_chr2_231460370_231460437_68_-	1.465849852	0.004652879	0.02003289	1.116719671	0.023063526	0.061773967	snRNA
URS00006D9244_GR_chr3_132229100_132229171_72_-	1.526856911	0.004665679	0.020035687	1.259967222	0.100829637	0.186115557	tRNA
URS00000821E0_GR_chr16_69933142_69933162_21_+	-1.053259365	0.004700856	0.020134317	NA	NA	NA	miRNA
URS00001799A3_GR_chr3_188688834_188688855_22_+	-1.206562381	0.004732512	0.020217387	-1.204370161	0.006756388	0.026519035	miRNA
URS000065DC2A_GR_chr2_203364408_203364478_71_-	1.388502571	0.004762227	0.020243081	NA	NA	NA	tRNA
URS00002C5F98_GR_chrX_45746182_45746202_21_-	-1.087162929	0.004763078	0.020243081	NA	NA	NA	miRNA
URS000075ABA6_GR_chr10_130962588_130962668_81_-	-1.488150681	0.004788978	0.020300836	-0.966989663	0.29592125	0.41759916	precursor_RNA
URS0000EFC259_GR_chr3_188688793_188688855_63_+	-1.193745332	0.004863497	0.020563862	1.740534171	0.212676454	0.325269871	precursor_RNA
URS0000750232_GR_chr6_27650928_27651000_73_-	1.427067225	0.004978746	0.02099732	NA	NA	NA	tRNA
URS00006E2C99_GR_chr5_132180779_132180838_60_+	2.446991453	0.005093468	0.021426349	NA	NA	NA	tRNA
URS00000F8038_GR_chr10_103394300_103394322_23_-	1.019864358	0.005172024	0.0216018	1.007935608	0.006821497	0.0266419	miRNA
URS0000D523DA_GR_chrX_151959676_151959699_24_-	-1.612243972	0.005172785	0.0216018	NA	NA	NA	miRNA
URS000066E3F5_GR_chr11_123059335_123059422_88_-	1.456163709	0.005174476	0.0216018	1.367784769	0.009751667	0.033870294	snoRNA
URS00006D333F_GR_chr16_70538005_70538098_94_+	1.280747779	0.005200009	0.02160534	1.25352619	0.009155703	0.032168686	snoRNA
URS000061CC6B_GR_chr1_633456_633533_78_+	1.127136626	0.005201528	0.02160534	NA	NA	NA	tRNA
URS0000170CF4_GR_chrX_45746180_45746202_23_-	-1.051208578	0.005298716	0.021953726	-1.145332406	0.002316695	0.012548766	miRNA
hsa_piR_001159_DQ571511	1.439722964	0.005381852	0.02224229	1.433749335	0.008973132	0.031736616	piRNA
URS0000647276_GR_chrX_45746178_45746247_70_-	-1.043851469	0.005445636	0.02242773	-0.980632411	0.071651438	0.14718467	precursor_RNA
URS0000EFC463_GR_chrX_45746179_45746242_64_-	-1.043647341	0.005453923	0.02242773	-1.15495799	0.025712632	0.066607471	precursor_RNA
URS000077D9F7_GR_chr1_631012_631061_50_-	1.091108242	0.005476571	0.022464839	NA	NA	NA	tRNA
URS0000637E4A_GR_chr14_20625370_20625451_82_+	1.634613055	0.005490935	0.022467872	1.746355002	0.01251414	0.040963553	tRNA
hsa_piR_020009_DQ597484	1.24966528	0.00551804	0.02252289	NA	NA	NA	piRNA
URS00000D410C_GR_chr7_145997391_145997416_26_+	1.245846779	0.005581847	0.022727076	NA	NA	NA	piRNA
URS000052FCE0_GR_chr9_133349396_133349470_75_+	1.12758332	0.005662004	0.022996663	0.618453192	0.235903154	0.35077103	snoRNA
URS00003AC822_GR_chr1_630974_631062_89_+	1.087562301	0.00576914	0.023374233	NA	NA	NA	tRNA
URS0000025325_GR_chr1_630996_631061_66_-	1.085743507	0.005836722	0.023475013	NA	NA	NA	tRNA
URS0000473F8D_GR_chr1_630996_631061_66_+	1.085743507	0.005836722	0.023475013	NA	NA	NA	tRNA
URS00002E6CEB_GR_chr1_630997_631061_65_-	1.085743507	0.005836722	0.023475013	NA	NA	NA	tRNA
URS000048B329_GR_chr3_188688781_188688866_86_+	-1.152700038	0.005870347	0.023497603	-0.320043698	0.683658462	0.771872457	precursor_RNA
